(93, '3e90eed0-fa69-4d30-8981-19757d3fa1f4', 54, 118, '1', 'ALWA', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(94, '0b05e058-e37b-4f8e-a637-d71b0fa0c57f', 121, 80, '6', 'ALWI', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(95, 'ecce106b-b723-4875-b8cc-922f8b3db4bb', 22, 158, '6', 'AMACH TOWN COUNCIL', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(96, '4e856b58-3d73-428d-9063-3c3e11dcff08', 59, 126, '14', 'AMANANG', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(97, '6a668d56-3acd-4340-8bd9-9b61aa87b853', 38, 93, '9', 'AMEN TOWN COUNCIL', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(98, 'f86b52c8-88a6-426f-ace2-e32b5eeee8d6', 79, 151, '7', 'AMINIT', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(99, 'c10a4d24-f966-405b-bc32-2e15fd3db780', 57, 123, '5', 'AMOLATAR TOWN COUNCIL', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(100, 'c719cc7a-4c4a-45bc-9b53-b0036f2176f6', 58, 124, '13', 'AMOLO', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(101, 'a99bd4cb-36fa-4334-9d12-33f238c178bd', 81, 153, '1', 'AMUDAT', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(102, '66c6b46d-c259-4d9f-ba95-532f75cfa563', 81, 153, '4', 'AMUDAT TOWN COUNCIL', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(103, '225a48cb-2d30-4284-adb6-5844c496d563', 88, 180, '2', 'AMUGU', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(104, '52f4c254-0567-4b41-9b12-11a22ddc5548', 88, 180, '1', 'AMUGU TOWN COUNCIL', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(105, '94e6e28f-6285-41be-93f5-d7b57d2bcddb', 14, 42, '14', 'AMUKOL', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(106, '0e8244e2-7453-4e5b-b57d-cffe854c65ab', 58, 124, '7', 'AMURIA TOWN COUNCIL', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(107, '9583392a-0cc3-41b0-8694-4c4fa2b0100b', 71, 141, '1', 'AMURU', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(108, '7ee08207-a998-483e-8837-5b04a99a73bc', 71, 141, '5', 'AMURU TOWN COUNCIL', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(109, '53b8acaf-1ea0-4c8e-920a-4ef0ab560add', 43, 176, '2', 'AMUSIA', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(110, 'c8f4e13c-cfac-4d87-89d9-e0ad83bea1fb', 74, 145, '9', 'AMWOMA', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(111, '0cf35c70-1c2d-400d-84fb-5858f6a1126c', 110, 142, '2', 'ANAKA (PAYIRA)', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(112, '5d1dc952-c72d-41fc-b948-0b4b9e582ec6', 50, 199, '10', 'ANGAGURA', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(113, 'cbf5f801-d8b4-44ea-8a64-74049b921e6b', 88, 180, '6', 'ANGETTA', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(114, '5f07d1d6-57ae-46f9-9b90-2438bd053662', 43, 176, '3', 'ANGODINGOD', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(115, '3facabaf-3da2-4451-81e4-244da51eb5d1', 129, 119, '1', 'ANYARA', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(116, '35f84e04-806a-46b3-8a00-1d046eda6be0', 133, 6, '8', 'ANYIRIBU', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(117, '8dc73e73-9095-454d-ab45-460bed1eedec', 1, 3, '2', 'APAC', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(118, 'f7eb35c1-be32-454b-8283-81c3b0afafee', 88, 160, '1', 'APALA', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(119, 'ee28b24b-94e3-48a0-b039-8a81c5609aff', 88, 160, '4', 'APALA TOWN COUNCIL', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(120, 'd7ae20df-ef5c-4008-bc0d-f7692a2e2b32', 129, 119, '5', 'APAPAI', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
